,AAPL,TSLA,MSFT,VZ,AMZN,BA,MS,DB,JPM,META,INTC,GS,HPE,TCS,WMT,T,TGT,WFC,V
2012-03-26,21.6778564453125,2.493333101272583,32.59000015258789,39.33000183105469,10.143500328063965,75.18000030517578,21.170000076293945,49.770992279052734,46.16999816894531,38.22999954223633,28.190000534057617,128.07000732421875,9.618976593017578,36.20000076293945,61.20000076293945,24.010574340820312,58.86000061035156,34.38999938964844,30.01499938964844
2012-03-27,21.945714950561523,2.5293331146240234,32.52000045776367,38.65999984741211,10.272000312805176,74.80999755859375,20.71999931335449,48.84542083740234,45.88999938964844,38.22999954223633,28.190000534057617,126.33000183105467,9.618976593017578,36.20000076293945,61.09000015258789,23.89728164672852,58.18999862670898,34.0,29.95249938964844
2012-03-28,22.05785751342773,2.523333072662353,32.189998626708984,38.2599983215332,10.05799961090088,74.33000183105469,20.239999771118164,48.578243255615234,46.27000045776367,38.22999954223633,27.799999237060547,126.36000061035156,9.618976593017578,36.20000076293945,61.18999862670898,23.685800552368164,58.15999984741211,34.470001220703125,29.83749961853028
2012-03-29,21.78071403503418,2.4886670112609863,32.119998931884766,38.06999969482422,10.23050022125244,74.08000183105469,19.739999771118164,47.24236679077149,45.66999816894531,38.22999954223633,28.15999984741211,123.76000213623048,9.618976593017578,36.20000076293945,60.81999969482422,23.572507858276367,57.97999954223633,33.939998626708984,29.75
2012-03-30,21.412500381469727,2.4826669692993164,32.2599983215332,38.22999954223633,10.125499725341797,74.37000274658203,19.63999938964844,47.50954055786133,45.97999954223633,38.22999954223633,28.1200008392334,124.37000274658205,9.618976593017578,36.20000076293945,61.20000076293945,23.58761215209961,58.27000045776367,34.13999938964844,29.5
2012-04-02,22.093929290771484,2.438667058944702,32.290000915527344,38.52000045776367,9.90250015258789,75.16999816894531,19.809999465942383,47.69084167480469,46.130001068115234,38.22999954223633,28.3799991607666,124.9000015258789,9.618976593017578,36.20000076293945,61.36000061035156,23.75377655029297,58.290000915527344,34.5099983215332,29.7450008392334
2012-04-03,22.4757137298584,2.5339999198913574,31.940000534057617,38.459999084472656,9.982999801635742,74.6500015258789,19.3700008392334,46.06870269775391,45.41999816894531,38.22999954223633,28.11000061035156,122.70999908447266,9.618976593017578,36.20000076293945,60.650001525878906,23.738670349121094,57.880001068115234,34.47999954223633,30.09000015258789
2012-04-04,22.29678535461425,2.3333330154418945,31.209999084472656,38.38999938964844,9.69950008392334,73.66999816894531,18.690000534057617,44.23664093017578,44.40999984741211,38.22999954223633,27.93000030517578,119.95999908447266,9.618976593017578,36.20000076293945,60.2599983215332,23.844411849975582,57.81999969482422,33.880001068115234,29.7450008392334
2012-04-05,22.63142967224121,2.298666954040528,31.520000457763672,37.65999984741211,9.719499588012695,73.58999633789062,18.38999938964844,43.64503860473633,44.34000015258789,38.22999954223633,28.06999969482422,118.0,9.618976593017578,36.20000076293945,60.66999816894531,23.36857986450196,57.720001220703125,33.72999954223633,30.252500534057617
2012-04-09,22.72249984741211,2.2100000381469727,31.100000381469727,37.459999084472656,9.593500137329102,72.43000030517578,17.979999542236328,42.91984558105469,43.88999938964844,38.22999954223633,27.76000022888184,117.0199966430664,9.618976593017578,36.20000076293945,60.130001068115234,23.14199447631836,57.52000045776367,33.41999816894531,29.875
2012-04-10,22.444286346435547,2.1640000343322754,30.46999931335449,36.79999923706055,9.348999977111816,70.5999984741211,17.309999465942383,41.50763320922852,42.959999084472656,38.22999954223633,27.450000762939453,114.55999755859376,9.618976593017578,36.20000076293945,59.93000030517578,22.756797790527344,56.400001525878906,32.91999816894531,29.184999465942383
2012-04-11,22.36428642272949,2.2060000896453857,30.350000381469727,37.380001068115234,9.398500442504885,71.7699966430664,17.510000228881836,42.99618148803711,44.0099983215332,38.22999954223633,27.850000381469727,115.93000030517578,9.618976593017578,36.20000076293945,59.79999923706055,22.99848937988281,57.20000076293945,33.619998931884766,29.34499931335449
2012-04-12,22.24178504943848,2.22933292388916,30.979999542236328,37.54999923706055,9.534500122070312,73.5,18.21999931335449,44.332061767578125,44.84000015258789,38.22999954223633,28.479999542236328,120.38999938964844,9.618976593017578,36.20000076293945,60.13999938964844,23.29305076599121,57.93000030517578,34.02000045776367,30.2549991607666
2012-04-13,21.6153564453125,2.239332914352417,30.809999465942383,37.2599983215332,9.42300033569336,72.91999816894531,17.280000686645508,42.270992279052734,43.209999084472656,38.22999954223633,28.09000015258789,115.08999633789062,9.618976593017578,36.20000076293945,59.77000045776367,23.066465377807617,57.43000030517578,32.84000015258789,30.790000915527344
2012-04-16,20.718929290771484,2.150000095367432,31.07999992370605,37.43000030517578,9.274999618530272,72.68000030517578,17.5,42.35686874389648,43.33000183105469,38.22999954223633,28.40999984741211,117.7300033569336,9.618976593017578,36.20000076293945,60.58000183105469,23.119335174560547,57.38999938964844,33.150001525878906,30.207500457763672
2012-04-17,21.77499961853028,2.149333000183105,31.440000534057617,37.7400016784668,9.419500350952148,74.08999633789062,17.850000381469727,44.18893051147461,43.900001525878906,38.22999954223633,28.46999931335449,116.86000061035156,9.618976593017578,36.20000076293945,61.869998931884766,23.3308162689209,57.59999847412109,33.68000030517578,30.520000457763672
